Date,SPY,GS,MSFT,TLT,MRK
10/3/2013,143.550461,136.556046,28.75638,87.038589,34.949123
10/4/2013,144.638092,136.294876,28.773355,86.972794,34.855156
10/7/2013,143.387787,134.29245,28.280777,87.32653,34.609451
10/8/2013,141.717728,133.247726,28.034498,87.35125,34.508266
10/9/2013,141.820511,134.457855,28.085455,86.651894,34.161373
10/10/2013,144.877899,137.56601,28.671448,86.791725,34.320366
10/11/2013,145.811356,139.298508,28.985685,86.767105,34.175838
10/14/2013,146.393738,138.828415,29.257448,86.067719,33.785583
10/15/2013,145.331818,137.235138,29.291424,86.010193,33.655495
10/16/2013,147.361542,141.257401,29.418819,87.088013,34.089104
10/17/2013,148.346344,137.835876,29.656609,87.8778,34.045738
10/18/2013,149.348343,138.15802,29.690575,88.067062,33.684402
10/21/2013,149.356903,139.098236,29.716059,87.787254,33.612141
10/22/2013,150.221848,138.645569,29.367863,88.766342,33.583229
10/23/2013,149.502487,137.330917,28.671448,89.111931,33.648273
10/24/2013,149.999191,139.263657,28.637484,88.766342,33.402569
10/25/2013,150.684341,141.118073,30.344519,89.095459,33.633816
10/28/2013,150.924103,140.560928,30.208628,88.791023,32.773811
10/29/2013,151.729141,141.135498,30.166178,88.906235,32.940029
10/30/2013,150.97551,141.083298,30.183161,88.371437,32.694328
10/31/2013,150.547272,140.047241,30.072756,88.560692,32.585922
11/1/2013,150.906937,141.083298,30.174662,87.602089,32.687092
11/4/2013,151.437988,142.049637,30.522871,87.684563,33.041214
11/5/2013,150.958405,140.996216,31.117365,86.636879,32.781048
11/6/2013,151.729141,142.363083,32.425243,86.678162,33.214672
11/7/2013,149.810776,138.985153,31.847733,87.4123,33.113483
11/8/2013,151.831924,142.058334,32.085526,85.308708,33.82172
11/11/2013,151.85762,142.641678,31.924173,84.986984,33.966255
11/12/2013,151.549332,141.814575,31.72883,85.38295,34.392643
11/13/2013,152.765457,141.858124,32.408245,85.696442,34.211971
11/14/2013,153.527573,142.084457,32.28936,86.224388,34.558861
11/15/2013,154.195587,143.129211,32.136497,86.397591,34.739525
11/18/2013,153.656052,144.243591,31.592943,86.917389,34.696167
11/19/2013,153.322021,145.044586,31.438929,86.257401,34.739525
11/20/2013,152.842499,143.651581,31.729868,84.788956,34.78289
11/21/2013,154.075714,145.453796,32.003704,84.929245,35.137005
11/22/2013,154.846405,146.350525,32.149155,85.721176,35.368279
11/25/2013,154.692276,147.551941,32.209068,85.968666,35.888599
11/26/2013,154.735123,146.298264,31.960905,86.290405,35.830776
11/27/2013,155.111969,146.935883,32.174835,86.141899,36.011459
11/29/2013,155.009171,147.564819,32.628361,86.166611,36.011459
12/2/2013,154.606613,148.246078,32.902195,85.496483,36.2644
12/3/2013,153.938675,146.787399,32.782398,85.81086,35.96085
12/4/2013,153.92157,147.355133,33.321491,84.991714,35.635654
12/5/2013,153.24498,144.612457,32.51712,84.751778,35.274315
12/6/2013,154.957794,146.053696,32.825176,85.157219,35.693474
12/9/2013,155.35173,146.45546,33.124683,85.355812,35.816345
12/10/2013,154.795074,148.254776,32.611244,85.968079,35.722382
12/11/2013,153.05658,146.394333,32.183392,85.306129,35.375496
12/12/2013,152.5513,147.031967,31.849669,84.983444,35.252277
12/13/2013,152.534149,147.084473,31.396143,85.397148,35.296066
12/16/2013,153.484772,149.320496,31.567282,85.082771,35.084492
12/17/2013,152.996643,148.918716,31.250673,85.463333,34.945881
12/18/2013,155.608658,152.718277,31.302011,85.033089,35.675426
12/19/2013,155.428802,152.65715,31.019617,84.950348,35.595181
12/20/2013,156.332916,152.997803,31.490269,86.257675,35.981846
12/23/2013,157.168167,154.142059,31.336224,85.769516,36.011017
12/24/2013,157.512543,153.871307,31.729868,85.082771,36.047501
12/26/2013,158.31337,154.124603,32.037918,84.754829,36.27367
12/27/2013,158.304703,154.037231,31.909569,84.514084,36.32473
12/30/2013,158.2789,153.495697,31.909569,85.095215,36.434166
12/31/2013,159.028046,154.832108,32.012253,84.555611,36.514423
1/2/2014,157.503937,154.508881,31.798323,84.812958,36.105869
1/3/2014,157.478134,155.609497,31.584393,84.812958,36.280968
1/6/2014,157.021774,156.675156,30.916933,85.16993,36.28825
1/7/2014,157.986115,155.731781,31.156536,85.385712,36.558189
1/8/2014,158.020599,155.862808,30.600317,85.15332,36.32473
1/9/2014,158.123886,154.954361,30.403505,85.651382,36.12775
1/10/2014,158.554428,155.819061,30.839928,86.672424,36.390392
1/13/2014,156.444901,153.626709,29.932871,87.10408,38.754166
1/14/2014,158.14975,154.2556,30.617437,86.705612,38.666618
1/15/2014,159.002167,156.133606,31.456028,86.614319,38.316433
1/16/2014,158.795532,153.006577,31.567282,87.195396,38.301842
1/17/2014,158.123886,153.97612,31.130869,87.560661,37.900574
1/21/2014,158.588867,151.285797,30.95116,87.627052,37.81303
1/22/2014,158.69223,151.705048,30.745796,87.411217,37.462852
1/23/2014,157.391998,149.145752,30.85704,88.648109,37.645237
1/24/2014,154.033936,146.429291,31.498819,89.220917,37.922474
1/27/2014,153.276184,143.852524,30.831364,88.598282,38.323734
1/28/2014,154.188889,145.215118,31.036739,88.81411,38.571777
1/29/2014,152.707932,143.162491,31.370468,89.544594,38.090267
1/30/2014,154.326691,144.857056,31.541616,89.287224,39.038692
1/31/2014,153.422577,143.354599,32.380211,89.884995,38.644726
2/3/2014,149.969681,139.598679,31.216436,90.980202,37.995426
2/4/2014,151.020203,141.293243,31.10519,90.014809,39.038692
2/5/2014,150.83075,140.122772,30.651665,89.182549,39.05328
2/6/2014,152.819824,141.284515,30.959732,88.799744,39.228371
2/7/2014,154.714111,141.441742,31.284891,88.874641,39.957932
2/10/2014,154.99826,140.62941,31.490269,89.124275,40.045486
2/11/2014,156.694565,143.59053,31.806877,88.608307,40.636425
2/12/2014,156.772064,142.81311,32.063583,88.150589,40.125744
2/13/2014,157.581467,143.302261,32.183392,88.649902,40.198685
2/14/2014,158.451141,143.005234,32.19194,88.699875,40.446751
2/18/2014,158.640533,143.817581,32.260918,88.899605,40.629128
2/19/2014,157.590073,142.603439,32.338512,88.525124,40.154915
2/20/2014,158.520004,143.686554,32.545418,88.308701,40.716679
2/21/2014,158.339157,143.686554,32.743721,88.774742,40.877193
2/24/2014,159.217453,145.46843,32.493694,88.550072,40.98661
2/25/2014,159.157181,142.795624,32.364395,89.340675,40.789631
2/26/2014,159.165771,142.681732,32.30402,89.815102,41.052277
2/27/2014,160.001022,144.942902,32.640255,90.306061,41.336807
2/28/2014,160.405716,145.88063,33.028214,90.356026,41.57756
3/3/2014,159.27771,144.381927,32.571281,90.959198,41.161705
3/4/2014,161.516449,147.878891,33.114422,89.590973,41.628632
3/5/2014,161.662827,150.657135,32.855789,89.782875,41.497311
3/6/2014,162.033066,151.27063,32.890289,88.89859,41.774536
3/7/2014,162.101944,152.72551,32.674751,88.339615,41.927738
3/10/2014,162.015869,152.068161,32.60577,88.46476,41.818306
3/11/2014,161.215103,148.895554,32.778206,88.698318,41.358692
3/12/2014,161.258179,148.746521,32.993744,89.315712,41.446228
3/13/2014,159.449936,146.099716,32.666122,90.517044,41.035168
3/14/2014,159.002167,144.91655,32.502316,90.533699,40.968964
3/17/2014,160.440109,146.222458,32.804058,89.857941,41.380859
3/18/2014,161.585342,147.317932,34.097252,90.183342,41.454411
3/19/2014,160.724289,147.396835,33.855862,89.482529,41.182266
3/20/2014,161.662827,148.308319,34.769718,89.32399,40.888054
3/21/2014,161.035797,146.318863,34.623165,90.291809,40.204018
3/24/2014,160.369843,145.24086,34.91629,90.934135,39.556747
3/25/2014,161.13092,143.076111,34.778343,90.592079,40.593853
3/26/2014,159.972061,141.743927,34.304169,91.301262,41.204346
3/27/2014,159.634766,142.234695,33.933456,91.760017,40.991035
3/28/2014,160.421783,142.2435,34.743862,91.242836,41.174919
3/31/2014,161.736343,143.601959,35.338734,91.017609,41.755981
4/1/2014,162.808777,145.416153,35.709442,90.239723,41.461769
4/2/2014,163.353638,146.599274,35.649086,89.721146,41.527973
4/3/2014,163.137421,145.565048,35.355976,90.114273,41.344082
4/4/2014,161.208801,143.067276,34.373135,90.716454,41.277885
4/7/2014,159.4272,138.965637,34.312794,91.260117,40.593853
4/8/2014,160.084488,137.212814,34.330044,91.477615,40.483513
4/9/2014,161.805527,138.615112,34.890419,91.025917,41.998699
4/10/2014,158.406708,136.704498,33.933456,91.870697,41.079288
